loop_name,N,seconds,TFLOPS,AI
update_loop,201,0.0000337500,0.0070401778,0.1250
convergence_loop,201,0.0000645830,0.0012263599,0.1250
update_loop,201,0.0000320420,0.0074154547,0.1250
convergence_loop,201,0.0000620420,0.0012765868,0.1250
update_loop,201,0.0000252090,0.0094254433,0.1250
convergence_loop,201,0.0000554160,0.0014292262,0.1250
update_loop,201,0.0000236250,0.0100573968,0.1250
convergence_loop,201,0.0000675410,0.0011726507,0.1250
update_loop,201,0.0000287500,0.0082645565,0.1250
convergence_loop,201,0.0000582080,0.0013606721,0.1250
update_loop,201,0.0000273750,0.0086796712,0.1250
convergence_loop,201,0.0000609170,0.0013001625,0.1250
update_loop,201,0.0000299160,0.0079424388,0.1250
convergence_loop,201,0.0000815420,0.0009713031,0.1250
update_loop,201,0.0000428750,0.0055418309,0.1250
convergence_loop,201,0.0000513750,0.0015416448,0.1250
update_loop,201,0.0000515830,0.0046062850,0.1250
convergence_loop,201,0.0001025840,0.0007720697,0.1250
update_loop,201,0.0000404170,0.0058788629,0.1250
convergence_loop,201,0.0000695410,0.0011389252,0.1250
update_loop,201,0.0000326250,0.0072829425,0.1250
convergence_loop,201,0.0000595000,0.0013311261,0.1250
update_loop,201,0.0000247080,0.0096165614,0.1250
convergence_loop,201,0.0000362910,0.0021824144,0.1250
update_loop,201,0.0000317500,0.0074836535,0.1250
convergence_loop,201,0.0000351250,0.0022548612,0.1250
update_loop,201,0.0000188340,0.0126158012,0.1250
convergence_loop,201,0.0000519170,0.0015255504,0.1250
update_loop,201,0.0000180830,0.0131397445,0.1250
convergence_loop,201,0.0000406250,0.0019495877,0.1250
update_loop,201,0.0000244580,0.0097148581,0.1250
convergence_loop,201,0.0000465000,0.0017032688,0.1250
update_loop,201,0.0000201660,0.0117825052,0.1250
convergence_loop,201,0.0000552920,0.0014324315,0.1250
update_loop,201,0.0000185830,0.0127862024,0.1250
convergence_loop,201,0.0000477920,0.0016572230,0.1250
update_loop,201,0.0000248340,0.0095677700,0.1250
convergence_loop,201,0.0000337090,0.0023495802,0.1250
update_loop,201,0.0000298330,0.0079645359,0.1250
convergence_loop,201,0.0000343330,0.0023068768,0.1250
update_loop,201,0.0000195000,0.0121849231,0.1250
convergence_loop,201,0.0000523750,0.0015122100,0.1250
update_loop,201,0.0000277080,0.0085753573,0.1250
convergence_loop,201,0.0000667080,0.0011872939,0.1250
update_loop,201,0.0000267910,0.0088688739,0.1250
convergence_loop,201,0.0000611660,0.0012948697,0.1250
update_loop,201,0.0000285420,0.0083247845,0.1250
convergence_loop,201,0.0000532920,0.0014861893,0.1250
update_loop,201,0.0000295420,0.0080429896,0.1250
convergence_loop,201,0.0000351250,0.0022548612,0.1250
update_loop,201,0.0000189170,0.0125604483,0.1250
convergence_loop,201,0.0000512080,0.0015466724,0.1250
update_loop,201,0.0000281250,0.0084482133,0.1250
convergence_loop,201,0.0000571250,0.0013864683,0.1250
update_loop,201,0.0000377920,0.0062872036,0.1250
convergence_loop,201,0.0000580000,0.0013655517,0.1250
update_loop,201,0.0000276660,0.0085883756,0.1250
convergence_loop,201,0.0000614580,0.0012887175,0.1250
update_loop,201,0.0000293330,0.0081002966,0.1250
convergence_loop,201,0.0000538330,0.0014712537,0.1250
update_loop,201,0.0000311670,0.0076236404,0.1250
convergence_loop,201,0.0000583750,0.0013567794,0.1250
update_loop,201,0.0000298330,0.0079645359,0.1250
convergence_loop,201,0.0000630840,0.0012555006,0.1250
